"","X","Season","Round","Date","Local.start.time","Venue","Attendance","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","Home.score","Home.coach","Home.coach.DOB","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","Away.score","Away.coach","Away.coach.DOB","First.name","Surname","ID","DOB","Height","Weight","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground..","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","year","month","day","pavO","pavD","pavM"
"11",20287,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Rory","Laird",12165,"29/12/1993",178,81,29,"Adelaide",15,12,18,1,0,0,3,4,4,2,4,1,0,0,9,25,0,0,4,0,0,85,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,149,142,110
"12",20288,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Jake","Lever",12351,"5/03/1996",194,85,6,"Adelaide",13,10,6,0,0,0,0,6,1,0,2,1,1,0,5,14,1,0,8,0,0,90,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,145,226,15
"13",20289,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Tom","Lynch",11865,"15/09/1990",191,88,27,"Adelaide",15,8,6,6,1,0,4,0,5,1,4,1,1,3,7,14,1,3,0,1,1,87,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,155,-4,107
"14",20290,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","David","Mackay",11634,"25/07/1988",182,77,14,"Adelaide",15,4,10,0,0,0,2,2,6,3,3,1,0,0,10,15,0,0,1,1,1,72,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,154,58,157
"15",20291,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Mitch","McGovern",12404,"11/10/1994",191,88,41,"Adelaide",6,5,6,2,2,0,1,2,2,2,2,0,0,0,7,6,1,2,1,0,1,69,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,151,49,73
"16",20292,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Wayne","Milera",12405,"14/09/1997",184,80,30,"Adelaide",10,9,10,1,0,0,1,1,4,0,1,1,0,0,5,15,1,1,2,2,0,72,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,150,51,64
"17",20293,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Paul","Seedsman",12035,"21/01/1992",190,85,11,"Adelaide",8,6,11,0,0,0,5,2,1,2,1,2,0,0,5,13,0,0,0,0,1,82,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,150,50,72
"18",20294,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Rory","Sloane",11792,"17/03/1990",183,83,9,"Adelaide",8,4,13,0,0,2,3,2,3,2,4,0,3,0,9,12,1,0,1,0,2,75,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,150.5,48.6666666666667,94
"19",20295,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Brodie","Smith",11891,"14/01/1992",190,86,33,"Adelaide",17,3,4,0,0,0,3,10,2,1,5,1,1,0,5,14,0,0,3,0,1,88,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,149,239,59
"20",20296,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Daniel","Talia",11989,"2/10/1991",197,99,12,"Adelaide",7,3,3,0,0,0,2,4,1,0,1,2,0,0,8,3,1,0,13,0,0,92,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,147,243,23
"21",20297,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Scott","Thompson",755,"14/03/1983",184,86,5,"Adelaide",12,3,17,0,0,1,10,1,3,6,1,2,1,0,15,14,0,0,1,0,1,82,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,151.25,36.3333333333333,197.5
"22",20298,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Taylor","Walker",11713,"25/04/1990",195,100,13,"Adelaide",7,3,4,2,2,0,1,0,2,0,2,0,2,0,6,5,2,2,1,0,0,81,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,146,3,31
"23",20321,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Rory","Atkins",12381,"12/07/1994",186,85,21,"Adelaide",15,6,10,1,0,0,2,4,6,2,3,0,1,1,6,17,0,0,2,1,2,72,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,124,108,135
"24",20322,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Eddie","Betts",4060,"26/11/1986",175,73,18,"Adelaide",12,2,7,4,1,0,5,0,2,0,1,3,0,0,13,6,0,1,0,0,0,88,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,119,4,48
"25",20323,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Luke","Brown",12106,"22/09/1992",183,81,16,"Adelaide",4,2,6,0,0,0,1,0,2,1,1,0,0,0,5,5,0,0,2,0,1,91,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,118,26,53
"26",20324,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Kyle","Cheney",11721,"25/08/1989",187,90,25,"Adelaide",7,2,4,0,0,0,0,3,2,0,4,1,1,0,5,6,1,0,1,0,0,87,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,115,74,30
"27",20325,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Matt","Crouch",12258,"21/04/1995",183,82,44,"Adelaide",8,2,19,0,0,0,5,1,2,4,2,0,1,0,9,15,0,0,1,0,0,72,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,114,32,124
"28",20326,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Richard","Douglas",2381,"6/02/1987",181,80,26,"Adelaide",18,3,6,1,2,0,7,4,1,4,4,2,2,0,13,10,0,1,1,0,0,84,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,115,91,116
"29",20327,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Kyle","Hartigan",6623,"7/11/1991",195,98,15,"Adelaide",7,4,6,0,0,0,0,3,0,1,2,0,2,0,7,6,0,0,8,0,0,96,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,111,156,18
"30",20328,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Sam","Jacobs",11708,"10/04/1988",202,102,24,"Adelaide",6,1,10,0,0,35,2,0,2,4,2,3,1,0,9,8,0,0,4,0,0,84,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,125.75,29.6666666666667,170.5
"31",20329,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Josh","Jenkins",12074,"8/02/1989",200,108,4,"Adelaide",10,4,6,1,3,9,3,1,4,2,0,3,0,0,8,9,0,2,2,0,0,93,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,124.25,40,125.5
"32",20330,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Rory","Laird",12165,"29/12/1993",178,81,29,"Adelaide",12,5,15,0,0,0,2,5,1,1,2,2,1,0,11,17,1,0,0,0,0,88,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,115,107,42
"33",20331,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Jake","Lever",12351,"5/03/1996",194,85,6,"Adelaide",7,2,0,0,0,0,1,2,1,0,0,1,0,0,3,4,1,0,3,0,0,76,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,115,80,19
"34",20332,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Tom","Lynch",11865,"15/09/1990",191,88,27,"Adelaide",16,6,5,3,2,0,1,0,6,2,4,1,1,0,6,15,0,1,0,0,0,87,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,120,2,133
"35",20333,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Jarryd","Lyons",12067,"22/07/1992",184,82,31,"Adelaide",10,1,5,0,0,0,8,2,2,4,3,1,1,0,13,5,0,1,0,0,2,63,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,122,37,134
"36",20334,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","David","Mackay",11634,"25/07/1988",182,77,14,"Adelaide",9,1,6,0,0,0,8,0,6,2,2,0,1,0,7,8,0,0,0,1,0,75,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,118,-1,153
"37",20335,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Mitch","McGovern",12404,"11/10/1994",191,88,41,"Adelaide",8,4,3,2,0,0,3,0,4,1,1,1,1,0,3,8,0,0,1,0,0,72,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,117,16,89
"38",20336,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Wayne","Milera",12405,"14/09/1997",184,80,30,"Adelaide",1,1,8,0,1,0,1,1,0,1,2,1,1,0,5,4,0,0,0,0,1,55,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,116,21,23
"39",20337,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Paul","Seedsman",12035,"21/01/1992",190,85,11,"Adelaide",9,1,3,2,0,0,5,0,2,1,4,0,1,0,5,7,0,0,0,1,0,79,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,114,-1,64
"40",20338,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Rory","Sloane",11792,"17/03/1990",183,83,9,"Adelaide",14,4,10,0,0,3,10,1,6,6,2,1,2,2,19,7,2,0,3,0,0,78,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,118.75,56,243.5
"41",20339,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Brodie","Smith",11891,"14/01/1992",190,86,33,"Adelaide",13,3,5,0,0,0,3,5,4,0,4,2,2,0,3,15,0,0,1,3,0,86,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,117,115,69
"42",20340,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Daniel","Talia",11989,"2/10/1991",197,99,12,"Adelaide",5,3,4,0,0,0,0,2,0,0,0,0,0,0,1,7,1,0,9,0,0,97,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,113,151,0
"43",20341,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Scott","Thompson",755,"14/03/1983",184,86,5,"Adelaide",9,3,18,0,0,0,10,2,3,6,2,1,0,0,10,17,0,0,0,0,1,87,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,120,45,196
"44",20342,2016,"4","2016-04-16",1910,"Adelaide Oval",51330,"Adelaide",3,1,5,8,11,13,16,17,113,"Don Pyke","5/12/1968","Sydney",3,4,5,6,12,8,15,13,103,"John Longmire","31/12/1970","Taylor","Walker",11713,"25/04/1990",195,100,13,"Adelaide",11,9,5,2,2,0,3,0,5,0,2,0,2,0,6,10,3,4,0,0,1,90,0,"Nick Foot","Luke Farmer","Brett Rosebury","",2016,4,16,123,-11,82
"45",20365,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Rory","Atkins",12381,"12/07/1994",186,85,21,"Adelaide",14,5,7,1,0,0,2,2,3,0,3,0,0,0,4,16,1,1,1,0,0,73,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,101,53,51
"46",20366,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Eddie","Betts",4060,"26/11/1986",175,73,18,"Adelaide",13,4,4,4,3,0,4,1,5,0,2,2,0,1,5,12,0,3,1,0,0,86,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,107,28,89
"47",20367,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Luke","Brown",12106,"22/09/1992",183,81,16,"Adelaide",16,6,11,0,0,0,4,8,3,0,3,1,1,0,9,18,0,0,1,1,2,90,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,106,178,57
"48",20368,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Charlie","Cameron",12277,"5/07/1994",181,75,23,"Adelaide",10,4,6,0,3,0,4,0,4,0,4,1,0,0,9,7,0,1,0,0,1,78,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,106,2,73
"49",20369,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Kyle","Cheney",11721,"25/08/1989",187,90,25,"Adelaide",4,4,7,0,0,0,1,1,0,0,1,0,0,0,3,10,0,0,3,0,0,92,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,97,60,3
"50",20370,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Matt","Crouch",12258,"21/04/1995",183,82,44,"Adelaide",8,2,19,0,0,0,2,2,1,3,7,1,4,0,13,14,0,0,0,2,0,74,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,95,36,78
"51",20371,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Richard","Douglas",2381,"6/02/1987",181,80,26,"Adelaide",6,5,15,1,1,0,3,0,2,2,5,2,3,0,9,15,1,1,2,0,0,80,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,99,23,78
"52",20372,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Kyle","Hartigan",6623,"7/11/1991",195,98,15,"Adelaide",10,8,8,0,0,0,5,4,0,0,3,0,3,0,4,14,2,0,5,0,0,93,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,94,142,12
"53",20373,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Sam","Jacobs",11708,"10/04/1988",202,102,24,"Adelaide",8,6,13,0,0,30,2,0,2,3,0,0,0,0,8,13,3,0,3,0,0,85,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,106.5,22,141
"54",20374,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Josh","Jenkins",12074,"8/02/1989",200,108,4,"Adelaide",5,4,6,2,1,5,3,0,2,0,0,1,0,0,8,5,2,2,1,0,2,74,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,109.25,6.66666666666667,47.5
"55",20375,2016,"6","2016-04-30",1340,"Adelaide Oval",47423,"Adelaide",2,4,5,5,9,10,14,13,97,"Don Pyke","5/12/1968","Fremantle",1,3,2,11,3,14,8,16,64,"Ross Lyon","8/11/1966","Rory","Laird",12165,"29/12/1993",178,81,29,"Adelaide",13,5,11,0,0,0,1,4,3,1,0,1,0,0,5,18,0,0,2,0,0,63,0,"Luke Farmer","Brendan Hosking","Ben Ryan","",2016,4,30,101,111,69
