,Name,ID,Playing.for,joiner
84,George Calleson,4454,Collingwood,George Calleson Collingwood
85,Dick Condon,4455,Collingwood,Dick Condon Collingwood
86,Charlie Dow,4456,Collingwood,Charlie Dow Collingwood
87,Harry Dowdall,4457,Collingwood,Harry Dowdall Collingwood
88,Arthur Gibbs,4460,Collingwood,Arthur Gibbs Collingwood
89,Wal Gillard,4461,Collingwood,Wal Gillard Collingwood
90,Jim Gregory,4462,Collingwood,Jim Gregory Collingwood
91,Frank Hailwood,4463,Collingwood,Frank Hailwood Collingwood
92,Rhoda McDonald,4471,Collingwood,Rhoda McDonald Collingwood
93,Jack Monohan,4472,Collingwood,Jack Monohan Collingwood
94,Bill OBrien,4473,Collingwood,Bill OBrien Collingwood
95,Charlie Pannam,4474,Collingwood,Charlie Pannam Collingwood
96,Tom Paterson,4475,Collingwood,Tom Paterson Collingwood
97,Dick Poole,4476,Collingwood,Dick Poole Collingwood
98,Bill Proudfoot,4477,Collingwood,Bill Proudfoot Collingwood
99,Charlie Sime,4478,Collingwood,Charlie Sime Collingwood
100,Archie Smith,4479,Collingwood,Archie Smith Collingwood
101,Billy Strickland,4481,Collingwood,Billy Strickland Collingwood
102,Lardie Tulloch,4483,Collingwood,Lardie Tulloch Collingwood
103,George Williams,4484,Collingwood,George Williams Collingwood
104,Alby Tame,4482,Collingwood,Alby Tame Collingwood
105,Jim Dowdall,4458,Collingwood,Jim Dowdall Collingwood
106,Dick Hall,4464,Collingwood,Dick Hall Collingwood
107,Fred Kay,4467,Collingwood,Fred Kay Collingwood
108,Danny Flaherty,4459,Collingwood,Danny Flaherty Collingwood
109,Denis Lanigan,4468,Collingwood,Denis Lanigan Collingwood
110,Fred Leach,4469,Collingwood,Fred Leach Collingwood
111,Herman Hellwig,4465,Collingwood,Herman Hellwig Collingwood
112,Tom Lee,4470,Collingwood,Tom Lee Collingwood
113,Herb Johnson,4466,Collingwood,Herb Johnson Collingwood
114,Bill Stranger,4480,Collingwood,Bill Stranger Collingwood
115,George Cowell,4618,Collingwood,George Cowell Collingwood
116,Matthew Fell,4619,Collingwood,Matthew Fell Collingwood
117,Bill Kennedy,4620,Collingwood,Bill Kennedy Collingwood
118,Mick Lynch,4621,Collingwood,Mick Lynch Collingwood
119,Bobby McCubbin,4622,Collingwood,Bobby McCubbin Collingwood
120,Arthur Leach,4327,Collingwood,Arthur Leach Collingwood
121,Bob Bird,4617,Collingwood,Bob Bird Collingwood
122,Tom Carmody,4703,Collingwood,Tom Carmody Collingwood
123,Pat Fitzgerald,4707,Collingwood,Pat Fitzgerald Collingwood
124,Jack Geddes,4708,Collingwood,Jack Geddes Collingwood
125,Alf Catlin,4704,Collingwood,Alf Catlin Collingwood
126,Bob Rush,4710,Collingwood,Bob Rush Collingwood
127,Jimmy Ryan,4711,Collingwood,Jimmy Ryan Collingwood
128,Albert Walsh,4712,Collingwood,Albert Walsh Collingwood
129,Wilfred Fell,4706,Collingwood,Wilfred Fell Collingwood
130,Johnny Lyons,4709,Collingwood,Johnny Lyons Collingwood
131,Jack Denning,4705,Collingwood,Jack Denning Collingwood
132,Doug Watsford,4713,Collingwood,Doug Watsford Collingwood
133,Jim Anderson,4308,Essendon,Jim Anderson Essendon
134,Son Barry,4310,Essendon,Son Barry Essendon
135,Arthur Cleghorn,4313,Essendon,Arthur Cleghorn Essendon
136,Maurie Collins,4315,Essendon,Maurie Collins Essendon
137,Tod Collins,4316,Essendon,Tod Collins Essendon
138,Jim Darcy,4318,Essendon,Jim Darcy Essendon
139,Charlie Forbes,4320,Essendon,Charlie Forbes Essendon
140,Johnny Graham,4322,Essendon,Johnny Graham Essendon
141,Joe Groves,4323,Essendon,Joe Groves Essendon
142,George Hastings,4324,Essendon,George Hastings Essendon
143,Ted Kinnear,4326,Essendon,Ted Kinnear Essendon
144,George Martin,4328,Essendon,George Martin Essendon
145,Bob McCormick,4329,Essendon,Bob McCormick Essendon
146,Gus Officer,4332,Essendon,Gus Officer Essendon
147,Ned Officer,4333,Essendon,Ned Officer Essendon
148,Pat OLoughlin,4331,Essendon,Pat OLoughlin Essendon
149,Bert Salkeld,4335,Essendon,Bert Salkeld Essendon
150,George Stuckey,4337,Essendon,George Stuckey Essendon
151,Norm Waugh,4341,Essendon,Norm Waugh Essendon
152,Harry Wright,4343,Essendon,Harry Wright Essendon
153,Edgar Croft,4317,Essendon,Edgar Croft Essendon
154,Hugh Gavin,4321,Essendon,Hugh Gavin Essendon
155,George Vautin,4340,Essendon,George Vautin Essendon
156,Fred Ball,4309,Essendon,Fred Ball Essendon
157,Harold Brown,4311,Essendon,Harold Brown Essendon
158,Archie Sykes,4338,Essendon,Archie Sykes Essendon
159,Gus Kearney,4325,Essendon,Gus Kearney Essendon
160,Jim Park,4334,Essendon,Jim Park Essendon
161,Jimmy Thurgood,4339,Essendon,Jimmy Thurgood Essendon
162,Jim White,4342,Essendon,Jim White Essendon
163,Arthur Leach,4327,Essendon,Arthur Leach Essendon
164,Charlie Moore,4330,Essendon,Charlie Moore Essendon
165,Alby Stamp,4336,Essendon,Alby Stamp Essendon
166,Colin Campbell,4312,Essendon,Colin Campbell Essendon
167,George Cochrane,4314,Essendon,George Cochrane Essendon
168,Dave Ferguson,4319,Essendon,Dave Ferguson Essendon
169,Pat Barr,4561,Essendon,Pat Barr Essendon
170,Corrie Gardner,4563,Essendon,Corrie Gardner Essendon
171,Alec Hall,4565,Essendon,Alec Hall Essendon
172,Jimmy Larkin,4567,Essendon,Jimmy Larkin Essendon
173,Conrad Tenbrink,4569,Essendon,Conrad Tenbrink Essendon
174,Pos Watson,4570,Essendon,Pos Watson Essendon
175,Dave Currie,4562,Essendon,Dave Currie Essendon
176,Horrie Stewart,4568,Essendon,Horrie Stewart Essendon
177,Bill Jackson,4566,Essendon,Bill Jackson Essendon
178,Alf Gray,4564,Essendon,Alf Gray Essendon
179,Jim Cullen,4658,Essendon,Jim Cullen Essendon
180,Billy Griffith,4671,Essendon,Billy Griffith Essendon
181,Mick OLoughlin,4672,Essendon,Mick OLoughlin Essendon
182,Fred Scott,4674,Essendon,Fred Scott Essendon
183,Charlie McCartney,4293,Essendon,Charlie McCartney Essendon
184,Hugh Fitzpatrick,4670,Essendon,Hugh Fitzpatrick Essendon
185,Albert Thurgood,4675,Essendon,Albert Thurgood Essendon
186,Les Rainey,4673,Essendon,Les Rainey Essendon
187,Ivan Astruc,4344,Fitzroy,Ivan Astruc Fitzroy
188,Tom Banks,4345,Fitzroy,Tom Banks Fitzroy
189,Jack Dalton,4349,Fitzroy,Jack Dalton Fitzroy
190,Pat Descrimes,4351,Fitzroy,Pat Descrimes Fitzroy
191,Jim Grace,4352,Fitzroy,Jim Grace Fitzroy
192,Mick Grace,4353,Fitzroy,Mick Grace Fitzroy
193,Pat Hickey,4354,Fitzroy,Pat Hickey Fitzroy
194,Ern Jenkins,4356,Fitzroy,Ern Jenkins Fitzroy
195,Chris Kiernan,4358,Fitzroy,Chris Kiernan Fitzroy
196,Percy Kimberley,4359,Fitzroy,Percy Kimberley Fitzroy
197,Roger Lamley,4360,Fitzroy,Roger Lamley Fitzroy
198,Dick McCabe,4361,Fitzroy,Dick McCabe Fitzroy
199,Sam McMichael,4363,Fitzroy,Sam McMichael Fitzroy
200,Bill McSpeerin,4364,Fitzroy,Bill McSpeerin Fitzroy
201,Dan Moriarty,4365,Fitzroy,Dan Moriarty Fitzroy
202,Geoff Moriarty,4366,Fitzroy,Geoff Moriarty Fitzroy
203,Arch Muirhead,4367,Fitzroy,Arch Muirhead Fitzroy
204,Jerry Nolan,4369,Fitzroy,Jerry Nolan Fitzroy
205,Ted Staniland,4378,Fitzroy,Ted Staniland Fitzroy
206,Jim Whelan,4379,Fitzroy,Jim Whelan Fitzroy
207,Tim Curran,4348,Fitzroy,Tim Curran Fitzroy
208,Fred Nomens,4370,Fitzroy,Fred Nomens Fitzroy
209,Bert Rapiport,4373,Fitzroy,Bert Rapiport Fitzroy
210,Alec Sloan,4377,Fitzroy,Alec Sloan Fitzroy
211,Paddy Noonan,4371,Fitzroy,Paddy Noonan Fitzroy
212,Stan Reid,4374,Fitzroy,Stan Reid Fitzroy
213,Bill Cleary,4347,Fitzroy,Bill Cleary Fitzroy
214,Bert Sharpe,4376,Fitzroy,Bert Sharpe Fitzroy
215,Joe Kerrigan,4357,Fitzroy,Joe Kerrigan Fitzroy
216,Charlie Cameron,4346,Fitzroy,Charlie Cameron Fitzroy
217,Mick Peppard,4372,Fitzroy,Mick Peppard Fitzroy
218,Henry Yager,4380,Fitzroy,Henry Yager Fitzroy
219,Alex Davidson,4350,Fitzroy,Alex Davidson Fitzroy
220,Hugh McEwen,4362,Fitzroy,Hugh McEwen Fitzroy
221,Herb Nolan,4368,Fitzroy,Herb Nolan Fitzroy
222,Harry James,4355,Fitzroy,Harry James Fitzroy
223,Kelly Robinson,4375,Fitzroy,Kelly Robinson Fitzroy
224,Bill Dalton,4572,Fitzroy,Bill Dalton Fitzroy
225,Eddie Drohan,4574,Fitzroy,Eddie Drohan Fitzroy
226,Charlie Jenkins,4576,Fitzroy,Charlie Jenkins Fitzroy
227,Bill Potter,4578,Fitzroy,Bill Potter Fitzroy
228,Jim Tulloch,4581,Fitzroy,Jim Tulloch Fitzroy
229,Johnny Power,4579,Fitzroy,Johnny Power Fitzroy
230,Charlie Doherty,4573,Fitzroy,Charlie Doherty Fitzroy
231,Alf McDougall,4577,Fitzroy,Alf McDougall Fitzroy
232,Fred Fontaine,4575,Fitzroy,Fred Fontaine Fitzroy
233,Harry Clarke,4571,Fitzroy,Harry Clarke Fitzroy
234,George Shaw,4580,Fitzroy,George Shaw Fitzroy
235,Bill Thompson,4681,Fitzroy,Bill Thompson Fitzroy
236,Jack Deas,4285,Fitzroy,Jack Deas Fitzroy
237,Charlie Foletta,4677,Fitzroy,Charlie Foletta Fitzroy
238,Tom Nolan,4680,Fitzroy,Tom Nolan Fitzroy
239,Tammy Beauchamp,4676,Fitzroy,Tammy Beauchamp Fitzroy
240,Bob Hay,4678,Fitzroy,Bob Hay Fitzroy
241,Jack Mulcahy,4679,Fitzroy,Jack Mulcahy Fitzroy
242,Peter Burns,4384,Geelong,Peter Burns Geelong
243,Jack Conway,4386,Geelong,Jack Conway Geelong
244,Teddy Holligan,4390,Geelong,Teddy Holligan Geelong
245,Eddy James,4391,Geelong,Eddy James Geelong
246,Paddy Leahy,4392,Geelong,Paddy Leahy Geelong
247,John Lucas,4393,Geelong,John Lucas Geelong
248,Tom Maguire,4394,Geelong,Tom Maguire Geelong
249,Firth McCallum,4395,Geelong,Firth McCallum Geelong
250,Bill McKay,4396,Geelong,Bill McKay Geelong
251,Henry McShane,4397,Geelong,Henry McShane Geelong
252,Jim McShane,4398,Geelong,Jim McShane Geelong
253,Joe McShane,4399,Geelong,Joe McShane Geelong
254,Tom Mullen,4401,Geelong,Tom Mullen Geelong
255,Jack Parkin,4403,Geelong,Jack Parkin Geelong
256,Bob Paterson,4404,Geelong,Bob Paterson Geelong
257,Billy Pincott,4406,Geelong,Billy Pincott Geelong
258,Alf Pontin,4407,Geelong,Alf Pontin Geelong
259,Jack Quinn,4408,Geelong,Jack Quinn Geelong
260,Teddy Rankin,4409,Geelong,Teddy Rankin Geelong
261,Archie Thompson,4412,Geelong,Archie Thompson Geelong
262,Stan Enfield,4387,Geelong,Stan Enfield Geelong
263,Jack Sharkey,4411,Geelong,Jack Sharkey Geelong
264,Sam Brockwell,4383,Geelong,Sam Brockwell Geelong
265,Charlie Coles,4385,Geelong,Charlie Coles Geelong
266,Jim Flynn,4388,Geelong,Jim Flynn Geelong
267,Henry Young,4414,Geelong,Henry Young Geelong
268,Bert Barling,4382,Geelong,Bert Barling Geelong
269,Mac Armstrong,4381,Geelong,Mac Armstrong Geelong
270,Arthur Pincott,4405,Geelong,Arthur Pincott Geelong
271,Fred White,4413,Geelong,Fred White Geelong
272,Cecil Sandford,4410,Geelong,Cecil Sandford Geelong
273,Jimmy Palmer,4402,Geelong,Jimmy Palmer Geelong
274,Ned Moran,4400,Geelong,Ned Moran Geelong
275,Ted Greeves,4389,Geelong,Ted Greeves Geelong
276,Jack OLoughlin,4591,Geelong,Jack OLoughlin Geelong
277,Walter Cooke,4585,Geelong,Walter Cooke Geelong
278,Alf Dear,4586,Geelong,Alf Dear Geelong
279,Bill Robertson,4592,Geelong,Bill Robertson Geelong
280,Dick Walker,4593,Geelong,Dick Walker Geelong
281,Jack Dore,4587,Geelong,Jack Dore Geelong
282,Ernie Leighton,4589,Geelong,Ernie Leighton Geelong
283,Les Bailiff,4583,Geelong,Les Bailiff Geelong
284,Ernest Anderson,4582,Geelong,Ernest Anderson Geelong
285,Alec King,4588,Geelong,Alec King Geelong
286,Ossie Calvert,4584,Geelong,Ossie Calvert Geelong
287,Arthur McKenzie,4590,Geelong,Arthur McKenzie Geelong
288,Tommy Buchan,4683,Geelong,Tommy Buchan Geelong
289,George Lockwood,4684,Geelong,George Lockwood Geelong
290,Teddy Lockwood,4685,Geelong,Teddy Lockwood Geelong
291,Pat ODonnell,4686,Geelong,Pat ODonnell Geelong
292,Norman Belcher,4682,Geelong,Norman Belcher Geelong
293,Harry Parkin,4687,Geelong,Harry Parkin Geelong
294,Fred Blackham,4201,Melbourne,Fred Blackham Melbourne
295,Herb Fry,4203,Melbourne,Herb Fry Melbourne
296,Charlie Goding,4206,Melbourne,Charlie Goding Melbourne
297,Edwin Jenkyn,4211,Melbourne,Edwin Jenkyn Melbourne
298,George Johnstone,4212,Melbourne,George Johnstone Melbourne
299,Jack Leith,4214,Melbourne,Jack Leith Melbourne
300,Austin Lewis,4215,Melbourne,Austin Lewis Melbourne
301,Bill McCulloch,4219,Melbourne,Bill McCulloch Melbourne
302,Fred McGinis,4220,Melbourne,Fred McGinis Melbourne
303,Norm McLeod,4221,Melbourne,Norm McLeod Melbourne
304,Henry Mitchell,4222,Melbourne,Henry Mitchell Melbourne
305,George Moodie,4223,Melbourne,George Moodie Melbourne
306,George Moysey,4224,Melbourne,George Moysey Melbourne
307,Bert Robinson,4226,Melbourne,Bert Robinson Melbourne
308,Fred Sheahan,4228,Melbourne,Fred Sheahan Melbourne
309,Wally Steele,4231,Melbourne,Wally Steele Melbourne
310,Ned Sutton,4233,Melbourne,Ned Sutton Melbourne
311,Bert Watson,4236,Melbourne,Bert Watson Melbourne
312,Alf Wood,4237,Melbourne,Alf Wood Melbourne
313,Charlie Young,4238,Melbourne,Charlie Young Melbourne
314,Maurie Herring,4209,Melbourne,Maurie Herring Melbourne
315,Dave Strahan,4232,Melbourne,Dave Strahan Melbourne
316,Jim McCoy,4218,Melbourne,Jim McCoy Melbourne
317,Arthur Kirk,4213,Melbourne,Arthur Kirk Melbourne
318,Lew Massey,4217,Melbourne,Lew Massey Melbourne
319,John Timothee,4234,Melbourne,John Timothee Melbourne
320,Jack Graham,4207,Melbourne,Jack Graham Melbourne
321,Alf Healing,4208,Melbourne,Alf Healing Melbourne
322,Dick Wardill,4235,Melbourne,Dick Wardill Melbourne
323,Tom Crawford,4202,Melbourne,Tom Crawford Melbourne
324,Jack Godby,4205,Melbourne,Jack Godby Melbourne
325,Alex Murdoch,4225,Melbourne,Alex Murdoch Melbourne
326,Stewart Geddes,4204,Melbourne,Stewart Geddes Melbourne
327,Walter Lyon,4216,Melbourne,Walter Lyon Melbourne
328,Jimmy Russell,4227,Melbourne,Jimmy Russell Melbourne
329,Eddie Sholl,4230,Melbourne,Eddie Sholl Melbourne
330,Harry Hughes,4210,Melbourne,Harry Hughes Melbourne
331,Gerald Sheahan,4229,Melbourne,Gerald Sheahan Melbourne
332,Eddie Byers,4487,Melbourne,Eddie Byers Melbourne
333,Tom Davey,4490,Melbourne,Tom Davey Melbourne
334,Denis Lanigan,4468,Melbourne,Denis Lanigan Melbourne
335,Les MacPherson,4494,Melbourne,Les MacPherson Melbourne
336,Bob Moore,4496,Melbourne,Bob Moore Melbourne
337,Dick Pirrie,4497,Melbourne,Dick Pirrie Melbourne
338,Bobby Royle,4502,Melbourne,Bobby Royle Melbourne
339,Percy Howard,4493,Melbourne,Percy Howard Melbourne
340,Frank Staines,4504,Melbourne,Frank Staines Melbourne
341,Jimmy Aitken,4416,Melbourne,Jimmy Aitken Melbourne
342,Pat Scanlan,4503,Melbourne,Pat Scanlan Melbourne
343,Johnny Coghlan,4488,Melbourne,Johnny Coghlan Melbourne
344,Bill McClelland,4495,Melbourne,Bill McClelland Melbourne
345,Les Rippon,4499,Melbourne,Les Rippon Melbourne
346,Jack Davidson,4491,Melbourne,Jack Davidson Melbourne
347,Henry Hagenauer,4492,Melbourne,Henry Hagenauer Melbourne
348,Dick Robertson,4501,Melbourne,Dick Robertson Melbourne
349,Art Atkinson,4485,Melbourne,Art Atkinson Melbourne
350,Harold Rippon,4498,Melbourne,Harold Rippon Melbourne
351,Bill Atkinson,4486,Melbourne,Bill Atkinson Melbourne
352,Vic Cumberland,4489,Melbourne,Vic Cumberland Melbourne
353,Norm Rippon,4500,Melbourne,Norm Rippon Melbourne
354,Fred Elliott,4624,Melbourne,Fred Elliott Melbourne
355,Charlie Illingworth,4626,Melbourne,Charlie Illingworth Melbourne
356,Dan Moriarty,4365,Melbourne,Dan Moriarty Melbourne
357,Tommy Ryan,4630,Melbourne,Tommy Ryan Melbourne
358,Arthur Sowden,4632,Melbourne,Arthur Sowden Melbourne
359,Laurie Paul,4627,Melbourne,Laurie Paul Melbourne
360,Curtis Reid,4629,Melbourne,Curtis Reid Melbourne
361,Cec Cumberland,4623,Melbourne,Cec Cumberland Melbourne
362,Joe Finlay,4625,Melbourne,Joe Finlay Melbourne
363,Leo Rankin,4628,Melbourne,Leo Rankin Melbourne
364,Arthur Sinclair,4631,Melbourne,Arthur Sinclair Melbourne
365,Bill Ahern,4239,St Kilda,Bill Ahern St Kilda
366,Harry Aylwin,4240,St Kilda,Harry Aylwin St Kilda
367,Alf Bedford,4241,St Kilda,Alf Bedford St Kilda
368,Billy Beggs,4242,St Kilda,Billy Beggs St Kilda
369,Danny Dunne,4249,St Kilda,Danny Dunne St Kilda
370,Ernie Dunne,4250,St Kilda,Ernie Dunne St Kilda
371,Harry Gower,4251,St Kilda,Harry Gower St Kilda
372,Ted Hall,4253,St Kilda,Ted Hall St Kilda
373,Algy Hay,4254,St Kilda,Algy Hay St Kilda
374,Ernest Jones,4258,St Kilda,Ernest Jones St Kilda
375,Arch Lowe,4259,St Kilda,Arch Lowe St Kilda
376,Bill Matthews,4260,St Kilda,Bill Matthews St Kilda
377,Tom McNamara,4263,St Kilda,Tom McNamara St Kilda
378,Bill Newton,4267,St Kilda,Bill Newton St Kilda
379,Joe OGrady,4268,St Kilda,Joe OGrady St Kilda
380,Syd Phillips,4270,St Kilda,Syd Phillips St Kilda
381,Billy Shaw,4272,St Kilda,Billy Shaw St Kilda
382,Ernie Stewart,4274,St Kilda,Ernie Stewart St Kilda
383,Reg Stewart,4276,St Kilda,Reg Stewart St Kilda
384,Bill Turner,4277,St Kilda,Bill Turner St Kilda
385,Mick Blake,4244,St Kilda,Mick Blake St Kilda
386,Dan Collins,4245,St Kilda,Dan Collins St Kilda
387,Jack Jennings,4257,St Kilda,Jack Jennings St Kilda
388,John Molesworth,4265,St Kilda,John Molesworth St Kilda
389,Joe Hogan,4255,St Kilda,Joe Hogan St Kilda
390,Jerry McGrath,4261,St Kilda,Jerry McGrath St Kilda
391,George McLeod,4262,St Kilda,George McLeod St Kilda
392,Fred Whitelaw,4278,St Kilda,Fred Whitelaw St Kilda
393,Charlie Howell,4256,St Kilda,Charlie Howell St Kilda
394,Fred Stewart,4275,St Kilda,Fred Stewart St Kilda
395,George Blake,4243,St Kilda,George Blake St Kilda
396,Harry Duigan,4248,St Kilda,Harry Duigan St Kilda
397,Charlie Cox,4247,St Kilda,Charlie Cox St Kilda
398,George Morrison,4266,St Kilda,George Morrison St Kilda
399,John Grieve,4252,St Kilda,John Grieve St Kilda
400,George Rutherford,4271,St Kilda,George Rutherford St Kilda
401,Mick OHagan,4269,St Kilda,Mick OHagan St Kilda
402,Emery Staines,4273,St Kilda,Emery Staines St Kilda
403,Matt Conniff,4246,St Kilda,Matt Conniff St Kilda
404,Arch Middleton,4264,St Kilda,Arch Middleton St Kilda
405,Gillie Wilson,4279,St Kilda,Gillie Wilson St Kilda
406,Artie Archer,4505,St Kilda,Artie Archer St Kilda
407,Peter Brady,4507,St Kilda,Peter Brady St Kilda
408,Mark Cumming,4510,St Kilda,Mark Cumming St Kilda
409,David Gaunson,4514,St Kilda,David Gaunson St Kilda
410,Edmund Kirwin,4519,St Kilda,Edmund Kirwin St Kilda
411,Horrie Lyons,4292,St Kilda,Horrie Lyons St Kilda
412,Joe Morehouse,4523,St Kilda,Joe Morehouse St Kilda
413,Archie Richardson,4528,St Kilda,Archie Richardson St Kilda
414,Howard Smith,4530,St Kilda,Howard Smith St Kilda
415,Tom Blake,4419,St Kilda,Tom Blake St Kilda
416,Walter Stewart,4533,St Kilda,Walter Stewart St Kilda
417,Harry Barr,4506,St Kilda,Harry Barr St Kilda
418,Johnny Dando,4512,St Kilda,Johnny Dando St Kilda
419,Dave Gibson,4515,St Kilda,Dave Gibson St Kilda
420,Andy Stewart,4531,St Kilda,Andy Stewart St Kilda
421,George Stewart,4532,St Kilda,George Stewart St Kilda
422,Bert Kay,4518,St Kilda,Bert Kay St Kilda
423,Edgar Maddox,4521,St Kilda,Edgar Maddox St Kilda
424,Don Walker,4536,St Kilda,Don Walker St Kilda
425,Harold Brookes,4508,St Kilda,Harold Brookes St Kilda
426,Percy Damman,4511,St Kilda,Percy Damman St Kilda
427,Tom Fogarty,4513,St Kilda,Tom Fogarty St Kilda
428,Bill Woodhouse,4453,St Kilda,Bill Woodhouse St Kilda
429,Jim Warne,4537,St Kilda,Jim Warne St Kilda
430,George Morgan,4524,St Kilda,George Morgan St Kilda
431,Harry Thompson,4534,St Kilda,Harry Thompson St Kilda
432,Alf Clauscen,4509,St Kilda,Alf Clauscen St Kilda
433,Ralph Hatch,4516,St Kilda,Ralph Hatch St Kilda
434,George Hunter,4517,St Kilda,George Hunter St Kilda
435,Alf Smith,4529,St Kilda,Alf Smith St Kilda
436,George May,4522,St Kilda,George May St Kilda
437,Billy Porter,4526,St Kilda,Billy Porter St Kilda
438,Alf Parker,4525,St Kilda,Alf Parker St Kilda
439,Herb Louch,4520,St Kilda,Herb Louch St Kilda
440,Jack Purse,4527,St Kilda,Jack Purse St Kilda
441,Jack Todd,4535,St Kilda,Jack Todd St Kilda
442,Bob Kenny,4642,St Kilda,Bob Kenny St Kilda
443,Mal Markellie,4643,St Kilda,Mal Markellie St Kilda
444,Billy McGregor,4644,St Kilda,Billy McGregor St Kilda
445,Michael OGorman,4295,St Kilda,Michael OGorman St Kilda
